,X,Y,Z,DBH
0,-2.612962962742788,-7.225183969790226,0.7206223343948026,0.15931845552126744
1,-1.2824852241389237,2.0938977685237026,0.42120570946676783,0.11028039341639068
2,-14.966336953997448,1.7107692462935504,0.5637182104534089,0.2673664391040802
3,-5.207238920574016,-7.2566647499391035,0.736376693195955,0.18367215991020203
4,-9.6208241305974,-1.0136237811885653,0.5417920285543265,0.3181995153427124
5,-12.233372266081991,-0.7195893068693596,0.5636658092918397,0.2017039656639099
6,-12.197853592250816,-3.0456819967950066,0.6314617570144524,0.0708024606239751
7,0.5984350719523193,5.493891881733885,0.4018461708569018,0.10370060801506042
8,-11.221062204244467,-0.38206249718526514,0.5449969778686629,0.1657013130615903
9,-1.7017177230535578,-3.7009663770678736,0.5652596763580983,0.11907478265094448
10,-2.6191106552557724,1.0026155805509096,0.4433833370591592,0.17891041934490204
11,-6.974283684047059,-2.560262007482326,0.5601917949594756,0.19232307374477386
